Libcell,Min_Delay,Avg_Delay,Max_Delay
NAND2_X2R_A9PP84TSL_C14,0.007,0.012303571428571436,0.018
BUFH_X10N_A9PP84TR_C16,0.009,0.010142857142857143,0.013
NAND2_X2R_A9PP84TSL_C16,0.012,0.012,0.012
PREICG_X6N_A9PP84TL_C14,0.031,0.05394186046511626,0.062
AOI21_X2N_A9PP84TSL_C14,0.012,0.015428571428571427,0.018
INV_X4F_A9PP84TL_C14,0.010,0.015666666666666666,0.027
XOR2_X4TN_A9PP84TR_C14,0.015,0.015,0.015
PREICG_X6N_A9PP84TL_C16,0.036,0.03684878744650507,0.049
AOI21_X2N_A9PP84TSL_C16,0.014,0.017,0.019
AOI22_X2R_A9PP84TL_C14,0.014,0.014,0.014
OAI31_X3N_A9PP84TSL_C14,0.012,0.011999999999999823,0.012
DLY2_X1N_A9PP84TR_C16,0.014,0.029183098591549297,0.057
DFFRPQ_X2N_A9PP84TR_C16,0.071,0.07466666666666666,0.081
INV_X24N_DCAP32_A9PP84TL_C14,0.002,0.008607118851509308,0.020
NOR2XB_X2N_A9PP84TL_C16,0.012,0.012,0.012
NAND2_X3TN_A9PP84TR_C14,0.012,0.012,0.012
PREICG_X1N_A9PP84TL_C14,0.014,0.026497826086956427,0.099
NAND2_X3N_A9PP84TR_C14,0.016,0.01933333333333333,0.026
PREICG_X1N_A9PP84TL_C16,0.016,0.04363546798029564,0.082
INV_X8N_A9PP84TL_C14,0.005,0.006,0.007
AO22_X1N_A9PP84TL_C14,0.017,0.017,0.017
INV_X1P5N_A9PP84TSL_C14,0.007,0.007,0.007
NOR2B_X1N_A9PP84TSL_C14,0.017,0.020432835820895535,0.034
INV_X8N_A9PP84TL_C16,0.007,0.007,0.007
AO22_X1N_A9PP84TL_C16,0.018,0.018666666666666665,0.020
PREICG_X14N_A9PP84TL_C14,0.021,0.025619047619047625,0.031
INV_X1P5N_A9PP84TSL_C16,0.010,0.01,0.010
NOR2B_X1N_A9PP84TSL_C16,0.031,0.031,0.031
AND2_X1N_A9PP84TSL_C14,0.016,0.02878947368421052,0.045
PREICG_X14N_A9PP84TL_C16,0.025,0.030285714285714287,0.032
SDFFRPQH_X4N_A9PP84TL_C14,0.036,0.03599999999999999,0.036
AND2_X1N_A9PP84TSL_C16,0.020,0.02,0.020
SDFFRPQH_X4N_A9PP84TL_C16,0.031,0.03618181818181819,0.039
INV_X10N_A9PP84TR_C14,0.004,0.006380952380952381,0.016
INV_X24F_A9PP84TSL_C14,0.008,0.008,0.008
INV_X3N_A9PP84TL_C14,0.007,0.01,0.026
INV_X3N_A9PP84TL_C16,0.006,0.018000000000000002,0.048
MX2_X8N_A9PP84TR_C14,0.014,0.016900000000000012,0.021
NOR2_X1P5N_A9PP84TL_C16,0.115,0.11500000000000002,0.115
NAND4_X1N_A9PP84TSL_C14,0.024,0.024,0.024
